,id,ScreenName,Location,date,text,label
675,675,45627,,12-03-2020,"Get concise Vision, Mission and Value Statements for your brand at affordable prices
#LOONA 
#Covid_19 
#ThursdayMotivation 
#TrumptheWorstPresidentEVER 
https://t.co/UToxZ1qHaZ",1
681,681,45633,Las Vegas,12-03-2020,"@British_Airways  can u plz update ur policy regarding flights coming up in April. The charge to change is more than the tix prices.
Tickets purchased b4 the #Covid_19 outbreak, that has us flying LAS-London on April 4th and out of CDG-LAS on April 15th",1
684,684,45636,"Scotland, United Kingdom",12-03-2020,Everyone is panic buying bog roll and hand sanitizer but feminine hygiene products donÂt seem to be selling very fast in comparison. So you might be free bleeding all over your house but at least your arse will be wiped and your hands will be clean #covid19 #Coronavirus #preppers,1
686,686,45638,"Ohio, USA",12-03-2020,@swissepi @FLAHAULT @StephaneCullati People arenÂt getting the social distancing very well. Ready to start elbowing peeps at grocery store today even with no sneezing or coughing involved #coronavirus #CoronaOutbreak,1
691,691,45643,"Aberdeen, Scotland",12-03-2020,"If people who don't have food allergies could NOT panic buy allergy friendly food for their stock piles, then that would be great
As someone who is very allergic to gluten it's worrying to see gluten-free cupboard items are out of stock (which never happens) already now #Covid_19",1
692,692,45644,"Chicago, Illinois, U.S.A.",12-03-2020,"My neighbor's a health care professional working as a nurse at a major @Chicago hospital. She's very much appreciated &amp; in the time of Coronavirus, wanted her to know that we have to take care of one another. Thank a nurse, doctor, hospital worker. #Coronavirus #COVID19 #ThankYou https://t.co/U2gAISnFxN",1
693,693,45645,Between humanity and milkyway ,12-03-2020,"The pandemia consumer needs &amp; spending hierarchy:
0?? health
1?? food and water
2?? energy
3?? information (&amp; technology) 
4?? mobility
5?? money (&amp; value)
6?? community
#Korona #koronavirus #Koronavirusfi #COVID2019 #Corona #CoronaOutbreak #CoronaVirusUpdate https://t.co/yiFVD0MWGf",1
695,695,45647,"Wales, United Kingdom",12-03-2020,The situation in schools right now...whereÂs the ?!...Everyone told to hand wash ..councils have not sent out supplies and supermarkets are wiped clean leaving schools looking for supplies...#wherethesoap #Covid_19 #schools #handwash #teacher #CoronavirusPandemic #supermarket https://t.co/7VPiJa2GWS,1
697,697,45649,,12-03-2020,"#CoronaVirusFrance : le rayon pÃ¢tes alimentaires, comme lÂautre jour!

Here is again, like the other day, pasta department, in a #Paris region supermarket...
People keep buying and stocking like if we were on small island or in the middle of the desert.

#Covid_19 #coronavirus https://t.co/1p1bjMfvAp",1
698,698,45650,London | ?????? | Cairo,12-03-2020,Our supermarket ran out of alcohol hand-sanitiser so I had to improvise #Covid_19 https://t.co/wym1fNMkpx,1
699,699,45651,"Islamabad, Pakistan",12-03-2020,"First, oil prices falling off a cliff offers an opportunity to reduce the import bill. 

Second, as CA/fiscal pressures ease, the allure of lowering taxes/duties must be resisted. #Covid_19 impact will require fiscal space. Relief must be  through budgetary measures. 

5/7",1
707,707,45659,,12-03-2020,This panel by Sid Teles perfectly embodies the mood at the supermarket today #Corona #CoronavirusPandemic #CoronavirusPandemic #Covid_19 #Fear #supermarket #groceries #indiecomics #Dystopia #dystopian #panicbuying #panicshopping #Hoarding #panicbuyers #Kickstarter #apocalyptic https://t.co/yEjNPxCdIG,1
709,709,45661,USA,12-03-2020,"https://t.co/eJwDzqWoq8 3M N95 masks for sale. And many other n95 varieties. USA &amp; global shipping. Visit us free now! Great prices.
#n95 #CoronaOutbreak #Covid_19

https://t.co/9S10qhJTf8 https://t.co/eHNlSRaeX7",1
713,713,45665,"Bangor, Northern Ireland",12-03-2020,"People really need to get a grip &amp; be nicer to each other.

Mum was just in local Tesco's. Shelves empty. Queues down aisles 1/2hr long. Mum being her normal cheery self laughing &amp; joking w her fellow queuers - said she made a few friends! ?
#BeKind #Covid_19 
1/2",1
714,714,45666,Calgary,12-03-2020,"Since a few people asked, yes I do sell my prints. They are at https://t.co/EMs1vyuorW. And just because, I made up this ironic discount code for you. Use 'CV19' for 19% off the price of prints.",1
715,715,45667,"Bensalem, PA",12-03-2020,"Off to do my #Coronavirus shopping. 

We are getting word that a shut down may be imminent in my county in PA.

So off to stock up on comfort food.",1
722,722,45674,London,12-03-2020,"Decided to join the party and to be fair, my little stock pile isn't even most peoples weekly shopping. Hopefully this #Covid_19 crap washes over and I'll just take the stuff to a food bank. #BetterSafeThanSorry https://t.co/t8U2y0ow3O",1
723,723,45675,"California, USA",12-03-2020,"Apple Store locations have received new directives to help curb the spread of CoronaVirus

https://t.co/46tCcgwOug

#Apple #AppleStore #retail #health #directives #infection #CoronaVirus #pandemic",1
726,726,45678,"Boston, MA",12-03-2020,"ÂMake sure you stock up on non-perishables!Â 
Â
&lt;Leaves grocery store with milk, cheese, yogurt, fruit, and vegetables&gt; #Covid_19",1
727,727,45679,,12-03-2020,Well done to everybody who has finished most of the stock at supermarkets ? now be ready for inflated prices for your next panic buying situation... This is what they wanted and you gave them exactly that! #CoronavirusPandemic #CoronaVirusUpdate #Covid_19,1
728,728,45680,,12-03-2020,"Anyone actually given a thought to people who work in food retail during this #Covid_19 #CoronavirusPandemic ? Whilst schools and events are being closed, people still have to shop, colleagues still have to work to provide stock for customers. Supermarkets wonÂt close though.....",1
729,729,45681,"Pennsylvania, USA",12-03-2020,"This isnÂt a panic tweet but the #Covid_19 has reached where IÂm living. I have extra food and supplies, so hopefully everything is alright. Anyone else in this situation, stay safe and stay rational. Be cautious and aware, but donÂt panic and overreact. ?? #DenieroInc",1
731,731,45683, Pleiades & SantaFe,12-03-2020,"Went to store today to stock up on #toiletpapercrisis &amp; $300 worth of food. Got home &amp; realized I had used phone in store, steering wheel, car keys; you get it. YOU CANÂT JUST WASH YOUR HANDS GOTTA CLEAN EVERYTHING. #FOMITES #coronavirus https://t.co/zD4BmV6rTQ",1
732,732,45684,,12-03-2020,"With the pandemic setting in with the coronavirus, will sports card market take a dip and prices drop 15-25% ? Or will the market stay strong. ?? Please share your thoughts #CoronaVirusUpdate #WorstPresidentInHistory #pandemic #NBA #Covid_19 #CancelEverything",1
733,733,45685,"Paramatta, Sydney",12-03-2020,"Following significant feedback from communities and growing concerns over COVID-19, the Parramasala Board has made the difficult decision to postpone the 2020 Parramasala Festival. The safety and wellbeing of our communities is of the highest importance. https://t.co/9vfVtZWgN1",1
735,735,45687,,12-03-2020,Ya ll the really is the MVP for us students Today they got extra shipments of food so students can stock up to prep for It s good nutritious food too,1
736,736,45688,,12-03-2020,How far out can I book a flight to Tokyo? Going next May and I want these prices...#Covid_19 #Japan,1
738,738,45690,"York, England",12-03-2020,"@Emma_L_Dargie @TheLastLeg Good advice. We need perspective &amp; practical action, not panic...or police &amp; security guards in the supermarket aisles!

Maybe #TomHanks contracting #CoronaVirus #COVID19, &amp; his response, will help others to stay",1
739,739,45691,,12-03-2020,Just want to say that now would be a great opportunity to get to know any of your elderly neighbors and check in on them and see if they need anything from the grocery store or pharmacy. Promote care not fear. ?? #Covid_19 #COVID19,1
741,741,45693,"Vancouver, Canada",12-03-2020,"My thoughts right now: 

I keep hearing about people who think itÂs a good idea to take advantage of low airplane ticket prices caused by #Covid_19 to travel the world right now......and at the risk of sounding preachy, I have to reiterate this quote from @JustinTrudeau",1
742,742,45694,"McDonough, GA",12-03-2020,"U can say I'm crazy if u want, but better safe than sorry. We will probably go under quarantine w/in the nxt 2 weeks. PLEASE stock up 4@least 4 wks: water, food, can goods, toilet paper, prescription meds etc. ?NBA/NCAA?? THIS IS HUGE?DON'T WAIT??IJS #CORONAVIRUS #ICARE",1
746,746,45698,"United Kingdom, West Midlands",12-03-2020,"Apparently Chest Freezers are back in vogue and selling like hotcakes as people start to stock up on food ready for ""The Great Lockdown"" #covid-19 https://t.co/zRckWdqnYv",1
747,747,45699,Athlone,12-03-2020,"First time in a supermarket this week, and there was not a roll of toilet paper to be seen.... I wonder if people didn't clean their asses before the #Covid_19 https://t.co/Xz1ETr5iSw",1
748,748,45700,"Firenze, Toscana",12-03-2020,"@bigeasy1156 @CK557755 @don_1312 @CNN the virus no longer needs to fly when it has reached all cities in USA from Cost to Cost.  Now Virus can walk comfortably on men's legs to do his job (at the stadium, supermarket, cinema, ..).  Local measures are need",1
750,750,45702,Somewhere in Poland,12-03-2020,"We used to laugh at Demolition Man ?

#Coronavirus https://t.co/2t2Rgs1nff",1
753,753,45705,"New York, NY",12-03-2020,Coming back from the grocery store like... #CoronavirusPandemic #Covid_19 #lockdown https://t.co/9AW8hDr8Mo,1
756,756,45708,Madison WI / Chicago IL,12-03-2020,The grocery store is usually my place of zen and calm. But the Madison Moms are NOT getting sick. #Covid_19 https://t.co/TFtaV1WSRf,1
759,759,45711,"Calgary, Alberta",12-03-2020,We are temporarily suspending all Howler and Growler fills to minimize the opportunity for the spread of the COVID-19. We will continue to fill Howlers and Growlers that are purchased from our in-house retail store.,1
760,760,45712,,12-03-2020,"Funny side effect for 'some high-ups' now #Covid_19 is ruling the fear of human race, they cling on social media/online means for contact, entertainment,shopping,etc. so easy fot the 'big guys' to profile your ongoing for a few weeks indoor or months. Very clever! @Piratenpartij",1
761,761,45713,"Mumbai, India",12-03-2020,"I love that Indians are dealing with fascist policies, the impending COVID-19 threat now it's reached our shores are still managing to laugh, have sex, demand good food and look for love. Survival is hope more than it's outrage.",1
766,766,45718,U.S.,12-03-2020,"As you stock up for the #nourishment and safety of your family during the #Coronavirus outbreak, please donate to those who cannot?

With #safety in mind, our local #foodbank requested a $$$ donation, rather than food &amp; supplies. We gladly donated on their website! ? https://t.co/L4wap0ecW9",1
768,768,45720,United States,12-03-2020,"@LaurynnnG Yeah. I've seen eggs, milk &amp; Lysol wipes being sold out at grocery store due 2 #Covid_19. Folks have gone nuts 2 &amp; they need 2 calm down. This isn't the black plague.",1
770,770,45722,Scottish Borders,12-03-2020,"@BriSmithy Was always about damage limitation,the self serving newly elected government dragging their heels lower than share prices.LetÂs hope common decency prevails to help others deal with the pandemic....Suddenly nobody remembers Brexit?..#inthistog",1
771,771,45723,"Logan, UT",12-03-2020,@Disney What would it take for my family to pay movie ticket prices and watch this at home to avoid the #Covid_19 ? Happy to pay the $$$Âs.,1
773,773,45725,,12-03-2020,Just so weÂre clear the gas prices arenÂt related to #Covid_19 but definitely are related to the global economic crash,1
774,774,45726,Pittsburgh Pennsylvania,12-03-2020,"I may be naive, but are food hoarding and selling off stock really helping the situation? #CoronavirusPandemic #Covid_19",1
780,780,45732,"Ongata Rongai, Kenya",12-03-2020,"??It's our pride to make sure our clients are satisfied. Ensuring best services by instilling and establishing unmatched reputation of variety, quality and affordable prices.??

For this and more reach us on 
0723212218 / 0751670284

 #DoMoreWithMPESA
#Covid_19 https://t.co/JTXese0bwr",1
784,784,45736,"Los Angeles, CA",12-03-2020,"#Coronavirus has to stuck inside the house (online shopping)? If you're looking at #Rothys, the most comfortable shoes ever, use my Discount code to get $20 off your first pair! https://t.co/rkBhVi4tLu #Rothysdiscount #rothyscode #rothyscoupon #Rothy #rothycode #onlineshopping",1
789,789,45741,Hogwarts,12-03-2020,@kroger @Walmart do you happen to have any step-by-step instructions for creating a web account and ordering groceries online? I live in a community of older folks and I think online shopping would be immensely helpful but a lot of them have never done th,1
791,791,45743,,12-03-2020,"@sidhakuro @bhoowan Well Rice is new, and worrying. Here in the US it is so far limited to Tissue papers and hand sanitizers only. Hope it wonÂt come to Food panic. #coronavirus #Covid_19",1
793,793,45745,,12-03-2020,"#Covid_19 has wiped supermarket of pasta &amp; toilet rolls but staff @royalhospital @RoyalPrimary targeted other much needed items for our foodbank initiative!
 
Delivered February's supplies last week weighing in at an impressive 305.20kg 

#ThankYou 

https://t.co/EDhiiV2SFn https://t.co/U9Xo3i1hWH",1
795,795,45747,Ireland ,12-03-2020,"This is a clip that challenges road behaviour and compares it with a similar behaviour in a supermarket.

With some of the behaviour I witnessed at some supermarkets today, maybe this ad might need a rethink?

Folks..please calm down!
There is no shortage of goods atm!
#Covid_19 https://t.co/0155PM02AV",1
796,796,45748,Where your story takes me,12-03-2020,"Important public anouncement

IF YOU JUST WASH YOUR BOTTOM LIKE PEOPLE ACROSS ASIA YOU WONÂT NEED TO PANIC BUY LOO ROLL!!! 
I refer you to exhibit a b c

Also food shelves full?!
#campaignforbumguns 
#Muslimshower
#toiletpaper #ToiletPaperApocalypse #Covid_19 #CoronavirusPandemic https://t.co/iy7IxImPZL",1
800,800,45752,"San Francisco, CA",12-03-2020,"Italy is on lockdown, and officials here in the US say that we may be about 2 weeks behind. A lockdown could be a reality for us here in the US if the #Coronavirus isn't contained. On that note, if you haven't already... be sure to stock up on enough food to last a couple weeks.",1
801,801,45753,Riga,12-03-2020,"4) state institutions encouraged to give services via email/phone when possible; 5) people who have been in Covid 19 countries asked to self-evaluate, self-carantine, not use public transport, use online shopping or go to places late in evening with mask and 2m from other people",1
802,802,45754,"Dublin, Ireland ",12-03-2020,Check on your elderly neighbours and relatives who wonÂt be able to stand in the massive supermarket queues ?? #Covid_19,1
803,803,45755,,12-03-2020,IÂm not actually that worried about COVID-19...Other note. Huge shout-out to all my fellow retail employees who donÂt have the option to work from home and have to clean up the store AFTER all the guests have touched everything in their panic to stock up,1
805,805,45757,#FeedTheBirds #WaterTheBirds ,12-03-2020,"James Moore: If we close schools to prevent coronavirus, thousands of children will go hungry https://t.co/xrpUeLA27l

This is the reason then? WELL #BorisJohnson give those who are in #Poverty HELP? MONEY grabbing Tyrant. Rather than lie on #Cobra  #Covid_19",1
806,806,45758,"MontrÃ©al, QuÃ©bec",12-03-2020,"Be like my girlfriend Leah. She was picking up cans of soup at the grocery store then thought.  ""I already have a lot at home. Better leave it for someone who doesn't "". Small things can help a lot. Stay safe. #Covid_19 #SocialDistancing  #CoronaVirusUpdate  #loveeachother",1
808,808,45760,"Scotland, United Kingdom",12-03-2020,"@JeremyVineOn5 @DrChrisSmith @DrSarahJarvis When are people who have been diagnosed positive #COVID19 most #infectious to others? How long will they continue to be infectious to others?

How long does #coronovirus live on surfaces &amp; clothing?
",1
812,812,45764,"Tulalip, WA",12-03-2020,"The NY Fed is injecting $500 billion in short-term funding. Sounds calming, but monetary policy isnÂt going to work this time.

We need investor/consumer mindsets to change surrounding #Covid_19 ThatÂs the only thing that halts this downtrend. 

https://t.co/VfXXOGwzKq",1
818,818,45770,"Will County, IL",12-03-2020,"Why only help big businesses with the 2020 #bailout - Newsflash- If the government really wants to stimulate the economy and consumer confidence, wipe out student loan debt and offer mortgage payment assistance for those impacted by #Covid_19 #shutdowns",1
819,819,45771,"California, USA",12-03-2020,"Oh yeah, sure, gas prices are gonna go down....but getting the CoronaVirus is so much less concerning.? #CovidDon #Covid_19 #TrumpCrash #TrumpIsAMoron #TrumpIsAnIdiot",1
820,820,45772,Bangalore,12-03-2020,"All these years, ppl looked at me like a freak for using hand sanitizer after trvling in bus/metro,washing hands aftr reaching office. 
Today, it's been set as a norm!
The spices/turmeric in our food were never only for taste, continue with'em.
Don't panic,Be Hygienic!
#Covid_19",1
821,821,45773,,12-03-2020,"Omg corona virus let's all go sit in line together at the grocery store to buy supplies and all touch the same cash registers n shit. So clever. 
#coronavirus #Covid_19 #COVID19 
#society",1
824,824,45776,"Yarmouth, ME",12-03-2020,"My story &amp; trip today to the #grocery store. Wow! And a helpful #Video  on what to do if you run out of #toiletpaper #ToiletPaperApocalypse #ToiletPaperEmergency  Stay #safe, everyone!! #CoronavirusPandemic #CancelEverything  #Covid_19 #Maine   https://t.co/vVmX0CNwP3",1
825,825,45777,Earth,12-03-2020,PM will be addressing the nation at 8pm later. Do not panic though. Do not wipe out the supermarket again.  #Covid_19,1
828,828,45780,"London, England",12-03-2020,"Enjoy the best shows from Sky TV and Netflix side by side, for just Â£25 per month! Sky Q. All in one place. Easy.",1
829,829,45781,Seattle,12-03-2020,?Got back from grocery store- amazingly well stocked but no hand sanitizer or alcohol left. Doc ofc havenÂt had any cases which is good bc they have no test kits!!! Seems like no one does!  #COVID19 #coronavirus #CoronaVirusUpdate #outbreak #epidemic #pandemic #health #CDC #WHO,1
830,830,45782,"Boise, ID",12-03-2020,"Hey, bee smart! Avoid the corona virus by shopping online ... Buy some socks! https://t.co/UAgPoGJbQL

#sockfetish #sockfetishsocks #socks #coronavirus #beesafe #shoplocal #supportsmallbusiness #buylocalboiseÂ https://t.co/huBK37KoMa",1
832,832,45784,In the flow,12-03-2020,"As we think only about ours, stock up on food, stay home from work, let's not forget about those who live a form of Covid-19 regularly - those without food, health coverage, suitable living conditions. Social distancing won't protect us. Now more than ever we need each other.",1
834,834,45786,"Spokane, WA",12-03-2020,"I sent my mom to get a huge amount of groceries. She says grocery store was busy. Cleaning product shelves empty. Toilet paper shelves empty. She bought Kleenex and paper towels. Says frozen food area has some low stock. 

Stay calm everyone. Stay smart. Prepare. #COVID2019",1
835,835,45787,Between pages of great ???,12-03-2020,"Please be aware #COVID19 #CoronaVirus has been confirmed on the #GoldCoast #QLD. If you're local &amp; #ImmuneCompromised please enlist medical hand washing, consider social distancing &amp; stock up on meds &amp; food if possible, asap. #EDS #Spoonie #ChronicIllness

https://t.co/x3rpZxP2L8",1
838,838,45790,"Beijing, China",12-03-2020,"Shopping for groceries, playing a Nintendo Wii, taking online coursesÂ???

A 23-year-old part-time vlogger/full-time student from Norway, who attends @PKU1898, is recording his daily life amid the novel #coronavirus epidemic.? [Photo/Xinhua] #SpotlightBeijing https://t.co/tEUgjLti05",1
840,840,45792,"Lubbock, TX",12-03-2020,The TP section at my local grocery store. All of the food and drink aisles are perfectly normal and fully stocked. I am very confused about this #ToiletPaperApocalypse #Covid_19 https://t.co/0NYGaZtP9J,1
842,842,45794,S A V A N N A H,12-03-2020,"All retail store cashiers should take two precautions for  customers:
1. Keep a ready bottle of hand sanitizer nearby for when people use pens or handle cash.
2. Keep screen wipes ready for use after every transaction where a buyer hand signs on screen.
#Covid_19 #Pandemic #Covid",1
843,843,45795,"London, England",12-03-2020,Hopefully all these games played behind closed doors will open clubs eyes to how important the fans are to the beautiful game &amp; in turn lower ticket prices.....? #Covid_19,1
844,844,45796,"Berlin, Germany",12-03-2020,"Are we still allowed to refer to successfully spreading digital consumer products as ""viral"" or will we have to find a new word? Asking for a friend... #coronavirus",1
847,847,45799,North Lincolnshire,12-03-2020,@Tesco Is it time to temporarily reintroduce bags for home delivery? It would help minimise contact between driver and customer.  Especially as many vulnerable people will be doing all their shopping online. #onlineshopping #coronavirus,1
853,853,45805,New York City,12-03-2020,"The people telling us to stock up on 2+ weeks worth of food, toilet paper, and medicine, clearly donÂt live pay-check-paycheck.
#coronavirus #CoronavirusPandemic #COVID19",1
854,854,45806,,12-03-2020,"So, after finally deciding that I need to buy a hand sanitizer .. I realized that after searching more than 10 pharmacies in Beirut, none of the sold sanitizers has a ÂcontentÂ part and so are unreliable. Two, prices are rediculously high and irrational.#??????_????? #Covid_19",1
857,857,45809,"Atlanta, GA",12-03-2020,"Me: Âare you going to go to the grocery store to stock up?Â

Mom: Âwell, I just got my nails done.Â

#itscoronatime #CoronavirusPandemic #Covid_19",1
859,859,45811,"Toronto, Ontario Canada ",12-03-2020,#CoronavirusPandemic is a Respiratory Virus all you need are herbs to boost your immune system. https://t.co/S6ouhexsjr all prices are in Canadian dollars. Free shipping over $80 #Covid_19 #CoronaVirusUpdate #CoronaOutbreak #coronavirus #Coronavid19 #Canada #CanadaPRMasterClass https://t.co/HiiQFJaVGI,1
860,860,45812,"London, Italy, Greece, Mexico",12-03-2020,Any companies found to be selling antibacterial wipes etc at extremely high prices should be boycotted after this is all over !Disgraceful behaviour at a time like this! Lots saying how entrepreneurial it is ! What a load of BS! Entrepreneurship is about helping also!! #Covid_19,1
867,867,45819,,12-03-2020,YÂall need to calm tf down at the grocery store. #CoronavirusPandemic #Covid_19 #thursdaymorning,1
872,872,45824,"Minneapolis, MN",12-03-2020,SEEKING: Everyone's favorite proactive consumer messaging in response to #Coronavirus/#COVID_19,1
874,874,45826,"Brooklyn, NY",12-03-2020,I've never been in a supermarket where so many people went out of their way to not accidentally touch each other. It was a strangely considerate experience. #Covid_19,1
878,878,45830,,12-03-2020,"Stock up on food and water just to be safe folks. Covid-19 isnÂt deadly, but it has a chance to disrupt food supply chains. Humans are nine meals away from anarchy; you do not want to be in the streets at that time. Buy a gun to protect you and yours. Be prepared, just in case",1
879,879,45831,Currently Traveling,12-03-2020,"I work at a small local grocery store and news just hit that they're shutting schools down for three weeks. Please have patience with your cashiers, baggers, and stock people. We are trying the best we can to keep up.
#Covid_19",1
880,880,45832,Fodlan,12-03-2020,"It'll be interesting to see how retail stores react to covid-19. Do they take a short term profit loss by closing, or do they risk a PR nightmare and long term profit and consumer trust loss by potentially having an outbreak start in their store?",1
883,883,45835,Worldwide,12-03-2020,The UK government is experimenting with the publics health just to save share prices. #CobraMeeting #Covid_19,1
887,887,45839,"Kuching, Sarawak",12-03-2020,"Video conferencing, online shopping, remote work, crypto, e-wallets, VR, ebooks, e-classroom, digital assistants, assets tokenization, STO. It's their time 2 shine. Organizations that donÂt offer these options will have to rethink.  Face2face is so covid-19! #xtz #COVID19",1
893,893,45845,London,12-03-2020,"While you may be based at home, just remember to do your online shopping with Amazon Smile. Relieve your boredom and support WIZO at the same time #coronavirus #charity #covd19 https://t.co/oaKa4KfDAk",1
896,896,45848,USA,12-03-2020,I think it's safe to say that the current situation society is facing is going to have a profound impact on people's move towards shopping and searching online for businesses. It's time to get your business online. #coronavirus,1
898,898,45850,"Puget Sound, WA",12-03-2020,"In Seattle, some things seem normal. I could drive to the grocery store or the gas station. I could keep my appointments. But itÂs all just better if I stay in. I can be one less person out bumping into other people, giving off or picking up germs on every surface. #coronavirus",1
904,904,45856,"New York, NY",12-03-2020,"alright #coronavirus you can fuq with my commute, fuq with mandatory wfh + even fuq with my online shopping addiction to china but you cannot FUQ WITH @tomhanks",1
906,906,45858,,12-03-2020,"ÂCoronavirus got Boomers stocking their doomsday bunkers... meanwhile millennials are online shopping for bathing suits for the five island trip they just booked on Spirit for $130.Â @KHJ_Esq
 And iGens are hoping schools extend spring break  #youthministry #coronavirus https://t.co/9KgBpW6PnO",1
907,907,45859,"Indiana, USA",12-03-2020,Airlines grounded. Stock market plummeting. Events cancelled. Threat of food shortages. #Covid_19 is like a test run for the #GreenNewDeal. Upshot. Carbon footprint for the US is going to look great. @AOC,1
908,908,45860,"Seattle, WA",12-03-2020,"If you can afford to do it, you should consider buying extra at the grocery store and donating it to local food banks or donate that money to your favorite local charity. Times are about to even tighter for lots of families...
#schoolclosings #Covid_19",1
913,913,45865,,12-03-2020,"My country has gone into a lockdown. Stay safe everyone wash your hands daily, use hand sanitizer and make sure elders have spare food in shops! Panic spree shopping left elders with very little food ? #Covid_19",1
916,916,45868, kilkenny. ,12-03-2020,"The person who stereotyped irish people as laidback and chill clearly hasn't stepped into a supermarket in the midst of a storm or a pandemic. If you are gonna do your shop in the coming days, get what you need, and be mindful of others. #Covid_19",1
918,918,45870,Toronto,12-03-2020,There's massive lineups at grocery stores in Toronto today like at this No Frills on Front St. #Toronto #NoFrills #Covid_19 ? @canchakir https://t.co/rdt4NQWgsq,1
920,920,45872,"Brisbane, Queensland",12-03-2020,"The businessDEPOT team shares what they would be suggesting you do as a business owner if your business is being affected by #Coronavirus directly, or indirectly through reduced consumer or business confidence. Read more: https://t.co/Xro3aEB3vl

#sme #smallbusiness",1
921,921,45873,Socially Distanced in NC,12-03-2020,"Please stop mocking folks who stock up on food and personal care products in the face of #CoronaVirus #COVID19. #Trump made it clear that he doesnÂt care and wonÂt help, so theyÂre protecting their families their way. ItÂs one small bit of mastery and control in terrifying times. https://t.co/cx75ax4wIB",1
925,925,45877,"Erie, CO",12-03-2020,So happy my supermarket has some toilet paper alternatives available today!! #tpgate #Covid_19 https://t.co/rzsXHXXTSR,1
928,928,45880,,12-03-2020,Sephora has free shipping online now until the end of March bc ppl are probably more comfortable shopping online instead of in stores due to COVID-19,1
931,931,45883,"Cardiff, Wales",12-03-2020,So I reached out on my local Facebook group to try and help pop to the shops etc for people who are elderly or self isolating from #Coronavirus - many wonÂt be online AND I would not make things worse by taking people contaminated shopping ? Anyone have any tips or guidance?,1
932,932,45884,,12-03-2020,"@AHARMumbai Many hotels in Mumbai r usin diluted liquid soap, detergent powder etc as substitute 2 undiluted liquid soap. Is it 2 much 2 ask 4 good hygiene practices,as a consumer, in #COVID2019 in densely populated metro like Mumbai? Cost cutting at what",1
935,935,45887,,12-03-2020,"#Covid_19   
In Turkey  , food prices increased by 100% :(  ...
virus outbreak unknown.  
no clear information is provided by the authorities",1
941,941,45893,chi ?,12-03-2020,"THINGS TO TALK ABOUT BESIDES COVID-19:
-the weather
-drinking for St patties 
-ur online shopping problem
-the book ur reading
-fav song at the moment
-where i should get lunch",1
947,947,45899,"Las Vegas, NV",12-03-2020,@Second_Son_da_G Lol Hoarding toilet paper like its food!? #Covid_19 is resetting some incomes for sure. Stock market hitting pockets &amp; balancing scales. Thing about living in poverty is you can't fall much further so this won't hurt so much it's the ,1
950,950,45902,,12-03-2020,@RepSusanDavis @CDCgov Get us more test kits and start reporting accurate numbers! The community believes we have one case here - we havenÂt tested enough. People have it and are already affecting San Diego! The grocery store today sounded like an infirm,1
952,952,45904,VA,12-03-2020,Bought to go the grocery store ? wish me luck. #Covid_19 https://t.co/Q8G7uphMpW,1
954,954,45906,"Longford, Dublin",12-03-2020,Does everybody feel compelled to share their supermarket empty shelves stories? I think at this stage we get it #Covid_19,1
955,955,45907,OK ? TX ? IN,12-03-2020,"I hope your grannyÂs nurse doesnÂt end up at the grocery store behind the 25 year olds saying Âcoronavirus canÂt get me, so iÂm still traveling everywhere.Â #CancelEverything #CoronaOutbreak #Covid_19",1
956,956,45908,Italy,12-03-2020,"it's really weird to go to the supermarket, have to wait in line to get in and then you see people wearing masks and gloves ??

it looks like the beginning of the apocalypse #Covid_19 https://t.co/r8IGT57dAN",1
957,957,45909,"Hamburg, Germany",12-03-2020,#CoronavirusPandemic  will help online grocery shopping break through in germany - no free delivery slots in the next two weeks in my area @REWE_Supermarkt  #disruption #ecommerce #delivery #Covid_19 https://t.co/SVaxCWymys,1
962,962,45914,North East. England ,13-03-2020,The economic social amp emotional impact of 19uk on the UK can be disastrous especially for small independent micro business owners If you re out shopping eating drinking please choose indie over chains amp if you re at home please order from them online  ,1
963,963,45915,SoCal,13-03-2020,"#PSA for #CoronaVirus
If you can't find wipes, TP or hand sanitizer at your local grocery store... Try your lil local corner liquor stores. They won't have as much, but ppl aren't typically going there to buy, so u can find some.",1
964,964,45916,Springfield ,13-03-2020,Been one of the earliest ones to be tweeting and alerting what will go down and how . People are still in denial mode. ItÂs too late to prepare on many aspects. I would tell people to stock food. This wonÂt go away without burning through 60% population #Covid_19 #WuhanVirus https://t.co/2piLJpvbK2,1
969,969,45921,North Shore of Boston ,13-03-2020,None of these fuckers have been in a superstore or grocery store #Covid_19,1
972,972,45924,,13-03-2020,Absolutely outrageous to hear that some companies are preying on people s fears during such hard times by hiking up the price of hand sanitiser and soap  If you have a stock at home please consider giving some to your local food bank ,1
974,974,45926,"Las Vegas, NV",13-03-2020,Imagine what's going to happen to consumer credit w/hundreds of millions of american card holders furloughed with #coronavirus choosing between your credit card bill and the last mask or last 25 lb bag of rice is going to be an easy and reflexive choice for consumers.,1
977,977,45929,"East Midlands, England",13-03-2020,"so I work in retail [at a book+gift store] and im really hoping our sales are down. I'm hoping people aren't pretending covid-19 isnt a thing, that it isnt important. i think me having to go to work is unnecessary and even if i ended up sick i couldn't stay home [1/4]",1
980,980,45932,,13-03-2020,mixed Advice Stock up on food amp essentials for 3mths Take cash out of banks banks will soon shutdown Have alternative currency ei Bitcoin XRP or physical gold silver Follow high amp on Twitter n Youtube for latest news Get Vitamin C amp Chaga,1
